Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,position,height,weight,country,draft_year,draft_number,conference,division,team,Group
Jae'Sean Tate,4.85,0.88,1.5,0.4,0.0,0.12,0.0,0.5,0.88,0.27,0.38,1.88,2.25,0.5,0.38,0.0,0.75,0.88,2.25,1.85,F,1.93,103.5,USA,undrafted,undrafted,West,Southwest,Houston Rockets,Prospects and Bench Players
Jaime Jaquez,21.44,3.31,7.77,0.44,0.69,1.92,0.28,1.54,2.23,0.39,1.46,4.08,5.54,2.38,0.85,0.08,1.54,1.46,8.85,7.15,G,1.98,101.25,USA,2023,18,East,Southeast,Miami Heat,Role Players
Jake LaRavia,23.79,3.1,6.15,0.54,0.95,2.3,0.4,1.55,2.2,0.54,1.45,3.4,4.85,3.85,0.8,0.75,1.35,2.3,8.7,9.16,F,2.01,105.75,USA,2022,19,West,Southwest,Memphis Grizzlies,Role Players
Jakob Poeltl,32.33,6.9,11.6,0.55,0.0,0.05,0.0,2.1,3.3,0.47,4.3,7.6,11.9,2.4,1.05,1.3,2.3,3.7,15.9,15.21,C,2.13,117.0,Austria,2016,9,East,Atlantic,Toronto Raptors,All-Stars
Jalen Bridges,5.48,0.0,1.0,0.0,0.0,1.0,0.0,0.5,1.0,0.25,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,-1.25,F,2.03,101.25,USA,undrafted,undrafted,West,Pacific,Phoenix Suns,Prospects and Bench Players
Jalen Brunson,34.92,8.95,18.26,0.49,2.53,6.16,0.38,5.47,6.53,0.83,0.37,2.63,3.0,7.79,0.68,0.05,2.26,2.42,25.89,20.26,G,1.88,85.5,USA,2018,33,East,Atlantic,New York Knicks,Superstars
Jalen Duren,24.1,3.55,5.1,0.66,0.0,0.0,0.0,1.7,2.95,0.49,3.1,6.45,9.55,2.5,0.25,1.3,1.85,3.0,8.8,10.12,C,2.08,112.5,USA,2022,13,East,Central,Detroit Pistons,All-Stars
Jalen Green,32.11,6.6,16.75,0.39,2.55,8.05,0.29,3.6,4.15,0.79,0.55,4.25,4.8,2.65,1.0,0.3,2.5,1.8,19.35,11.55,G,1.93,83.7,USA,2021,2,West,Southwest,Houston Rockets,Superstars
Jalen Hood-Schifino,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,1.96,96.75,USA,2023,17,West,Pacific,Los Angeles Lakers,Prospects and Bench Players
Jalen Johnson,36.46,7.9,15.75,0.5,1.75,4.7,0.36,2.5,3.35,0.56,1.75,8.15,9.9,5.5,1.35,1.15,3.2,2.05,20.05,17.5,F,2.03,98.55,USA,2021,undrafted,East,Southeast,Atlanta Hawks,Superstars
Jalen Pickett,1.9,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,G,1.88,90.9,USA,2023,32,West,Northwest,Denver Nuggets,Prospects and Bench Players
Jalen Smith,14.44,2.72,6.0,0.44,1.22,3.39,0.32,1.0,1.39,0.35,1.33,3.83,5.17,0.78,0.39,0.61,0.61,1.61,7.67,6.59,F,2.06,96.75,USA,2020,undrafted,East,Central,Chicago Bulls,Role Players
Jalen Suggs,29.18,5.25,12.55,0.42,2.2,6.85,0.31,2.7,2.9,0.65,0.6,3.65,4.25,3.9,1.3,1.1,2.65,2.55,15.4,11.28,G,1.96,92.25,USA,2021,5,East,Southeast,Orlando Magic,Superstars
Jalen Williams,31.75,8.47,16.42,0.52,2.05,5.16,0.35,2.47,3.11,0.72,0.95,5.37,6.32,5.16,2.16,0.95,2.32,2.89,21.47,18.35,G,1.96,94.95,USA,2022,12,West,Northwest,Oklahoma City Thunder,Superstars
Jalen Wilson,24.41,3.21,6.95,0.49,1.42,3.79,0.39,1.63,1.89,0.47,1.16,2.42,3.58,1.74,0.26,0.05,0.95,2.11,9.47,7.05,F,1.98,99.0,USA,2023,51,East,Atlantic,Brooklyn Nets,Role Players
Jamal Cain,15.24,1.58,3.67,0.36,0.75,2.0,0.26,0.75,1.17,0.35,0.92,2.0,2.92,0.75,0.42,0.42,0.58,1.5,4.67,3.86,F,1.98,85.95,USA,undrafted,undrafted,West,Southwest,New Orleans Pelicans,Prospects and Bench Players
Jamal Murray,35.64,6.43,15.5,0.41,2.07,6.36,0.29,3.14,4.0,0.78,0.57,3.86,4.43,6.14,1.43,0.5,1.93,1.79,18.07,14.44,G,1.93,96.75,Canada,2016,7,West,Northwest,Denver Nuggets,Superstars
Jamal Shead,14.97,1.9,5.05,0.31,0.55,1.9,0.22,0.45,0.6,0.23,0.1,0.85,0.95,3.15,0.5,0.1,1.35,1.95,4.8,2.94,G,1.85,90.0,USA,2024,45,East,Atlantic,Toronto Raptors,Prospects and Bench Players
James Harden,34.24,6.24,16.19,0.39,2.76,8.1,0.35,6.29,7.1,0.82,0.57,6.52,7.1,8.76,1.71,0.76,4.38,1.95,21.52,17.94,G,1.96,99.0,USA,2009,3,West,Pacific,LA Clippers,Superstars
James Johnson,3.46,0.67,1.33,0.5,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.67,0.0,0.33,1.0,0.0,1.33,0.57,F,2.01,108.0,USA,2009,16,East,Central,Indiana Pacers,Prospects and Bench Players
James Wiseman,4.63,2.0,4.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.3,C,2.11,108.0,USA,2020,2,East,Central,Indiana Pacers,Prospects and Bench Players
Jamison Battle,14.02,2.21,4.68,0.45,1.42,3.42,0.33,0.47,0.58,0.24,0.63,1.42,2.05,0.89,0.16,0.21,0.26,1.26,6.32,4.91,F,2.01,99.0,USA,undrafted,undrafted,East,Atlantic,Toronto Raptors,Prospects and Bench Players
Jarace Walker,17.4,1.9,4.55,0.42,0.95,2.5,0.3,0.7,1.15,0.28,0.55,2.85,3.4,1.55,1.35,0.35,1.5,1.55,5.45,4.65,F,2.01,105.75,USA,2023,8,East,Central,Indiana Pacers,Role Players
Jared Butler,7.79,1.54,3.31,0.49,0.08,0.46,0.08,1.15,1.62,0.55,0.15,0.46,0.62,2.23,0.46,0.15,0.54,1.0,4.31,3.86,G,1.9,86.85000000000001,USA,2021,undrafted,East,Southeast,Washington Wizards,Prospects and Bench Players
Jared McCain,25.2,5.56,12.39,0.43,2.22,6.11,0.28,2.67,2.94,0.65,0.56,1.94,2.5,2.56,0.56,0.0,1.39,1.39,16.0,10.81,G,1.9,87.75,USA,2024,16,East,Atlantic,Philadelphia 76ers,Role Players
Jared Rhoden,2.91,0.5,2.0,0.12,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.25,0.0,0.25,0.25,1.0,0.55,G,1.96,94.5,USA,undrafted,undrafted,East,Southeast,Charlotte Hornets,Prospects and Bench Players
Jarrett Allen,29.56,5.85,8.35,0.7,0.0,0.0,0.0,2.8,3.75,0.64,2.35,8.35,10.7,1.7,0.9,1.05,1.0,1.2,14.5,16.11,C,2.06,109.35,USA,2017,22,East,Central,Cleveland Cavaliers,All-Stars
Javonte Green,24.31,2.25,5.3,0.44,0.8,2.35,0.36,1.3,1.5,0.57,0.9,2.45,3.35,0.9,1.1,0.6,0.45,1.25,6.6,6.28,G,1.96,92.25,USA,undrafted,undrafted,West,Southwest,New Orleans Pelicans,Role Players
Jaxson Hayes,17.42,2.36,3.27,0.74,0.0,0.0,0.0,1.64,2.09,0.61,1.91,2.64,4.55,0.82,0.36,0.82,0.73,2.55,6.36,6.73,C,2.13,99.0,USA,2019,8,West,Pacific,Los Angeles Lakers,All-Stars
Jay Huff,15.38,3.35,6.2,0.53,1.7,3.85,0.38,1.2,1.65,0.47,0.55,1.9,2.45,0.85,0.3,1.45,0.6,1.4,9.6,8.12,C,2.16,108.0,USA,undrafted,undrafted,West,Southwest,Memphis Grizzlies,Role Players
Jaylen Brown,36.46,8.47,19.6,0.44,2.6,7.67,0.33,5.2,6.8,0.75,1.4,4.93,6.33,4.33,1.07,0.4,2.47,2.87,24.73,16.99,G,1.98,100.35,USA,2016,3,East,Atlantic,Boston Celtics,Superstars
Jaylen Martin,1.54,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,1.15,G,1.98,97.2,USA,undrafted,undrafted,East,Atlantic,Brooklyn Nets,Prospects and Bench Players
Jaylen Nowell,21.01,3.25,9.12,0.32,1.0,3.38,0.32,0.88,1.38,0.5,0.75,1.75,2.5,2.25,0.12,0.5,1.0,1.12,8.38,4.74,G,1.93,90.45,USA,2019,43,East,Southeast,Washington Wizards,Role Players
Jaylon Tyson,9.2,1.1,2.3,0.34,0.3,0.9,0.22,0.3,0.6,0.15,0.9,1.2,2.1,1.0,0.4,0.0,0.6,1.5,2.8,2.4,F,1.98,96.75,USA,2024,undrafted,East,Central,Cleveland Cavaliers,Prospects and Bench Players
Jayson Tatum,36.31,9.11,19.74,0.46,4.0,10.58,0.38,6.53,8.21,0.78,0.47,8.05,8.53,5.79,1.37,0.58,2.84,2.47,28.74,22.63,F,2.03,94.5,USA,2017,3,East,Atlantic,Boston Celtics,Superstars
Jazian Gortman,2.59,0.6,1.0,0.6,0.4,0.6,0.4,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.4,1.6,1.06,G,1.88,82.8,USA,undrafted,undrafted,West,Southwest,Dallas Mavericks,Prospects and Bench Players
Jeenathan Williams,3.34,1.0,1.33,0.56,0.33,0.67,0.33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.33,0.0,0.0,0.0,2.33,2.43,G,1.96,92.25,USA,undrafted,undrafted,West,Southwest,Houston Rockets,Prospects and Bench Players
Jeff Dowtin,10.04,0.75,2.38,0.18,0.12,1.0,0.04,0.38,0.5,0.19,0.25,0.75,1.0,1.12,0.38,0.0,0.12,0.62,2.0,1.78,G,1.9,79.65,USA,undrafted,undrafted,East,Atlantic,Philadelphia 76ers,Prospects and Bench Players
Jeff Green,5.68,1.0,1.86,0.46,0.43,1.14,0.43,0.0,0.0,0.0,0.0,0.57,0.57,0.14,0.29,0.0,0.29,0.29,2.43,1.69,F,2.03,105.75,USA,2007,5,West,Southwest,Houston Rockets,Prospects and Bench Players
Jerami Grant,32.33,5.17,13.5,0.38,2.22,6.39,0.33,3.5,4.28,0.62,0.39,3.0,3.39,2.17,0.94,1.06,1.44,2.22,16.06,10.4,F,2.01,94.5,USA,2014,39,West,Northwest,Portland Trail Blazers,Superstars
Jeremiah Robinson-Earl,21.12,2.9,6.4,0.45,0.9,2.7,0.3,1.1,1.25,0.42,2.25,3.1,5.35,1.2,0.7,0.1,0.9,1.35,7.8,7.1,F,2.03,108.0,USA,2021,32,West,Southwest,New Orleans Pelicans,Role Players
Jeremy Sochan,29.33,6.29,12.29,0.54,0.43,1.71,0.18,2.43,3.57,0.51,2.43,5.29,7.71,3.0,1.0,0.43,2.29,3.0,15.43,12.09,F,2.03,103.5,Poland,2022,9,West,Southwest,San Antonio Spurs,All-Stars
Jericho Sims,13.26,0.84,1.21,0.48,0.0,0.0,0.0,0.11,0.26,0.08,1.37,2.37,3.74,0.58,0.26,0.47,0.42,1.58,1.79,2.83,F,2.08,112.5,USA,2021,58,East,Atlantic,New York Knicks,Prospects and Bench Players
Jett Howard,10.17,1.5,3.75,0.4,1.05,2.95,0.32,0.1,0.1,0.05,0.4,0.85,1.25,0.4,0.1,0.3,0.3,0.85,4.15,2.61,G,1.98,96.75,USA,2023,11,East,Southeast,Orlando Magic,Prospects and Bench Players
Jevon Carter,5.3,0.78,2.33,0.26,0.44,1.56,0.2,0.0,0.0,0.0,0.11,0.56,0.67,0.67,0.33,0.0,0.33,0.11,2.0,1.34,G,1.85,90.0,USA,2018,32,East,Central,Chicago Bulls,Prospects and Bench Players
Jimmy Butler,31.7,6.0,11.31,0.55,0.54,1.62,0.26,6.46,8.23,0.66,2.38,2.77,5.15,4.92,1.23,0.31,1.54,1.31,19.0,18.11,F,2.01,103.5,USA,2011,undrafted,East,Southeast,Miami Heat,Superstars
Jock Landale,11.11,1.5,3.36,0.4,0.21,0.43,0.21,0.71,1.36,0.23,1.43,1.86,3.29,1.0,0.21,0.43,0.5,1.0,3.93,3.79,C,2.11,114.75,Australia,undrafted,undrafted,West,Southwest,Houston Rockets,Prospects and Bench Players
Joe Ingles,3.73,0.0,0.29,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.29,0.0,0.29,1.29,0.0,0.0,0.14,0.71,0.0,0.47,F,2.03,99.0,Australia,undrafted,undrafted,West,Northwest,Minnesota Timberwolves,Prospects and Bench Players
Joel Embiid,31.36,5.5,14.5,0.36,0.75,4.5,0.18,8.0,8.0,0.75,1.25,6.25,7.5,3.5,0.5,1.0,3.25,2.75,19.75,13.85,C,2.13,126.0,Cameroon,2014,3,East,Atlantic,Philadelphia 76ers,Superstars
John Collins,28.71,6.83,12.78,0.54,1.0,2.83,0.3,3.11,3.28,0.98,2.67,6.17,8.83,2.5,1.33,0.78,2.61,3.11,17.78,14.99,F,2.06,101.7,USA,2017,19,West,Northwest,Utah Jazz,All-Stars
John Konchar,12.99,0.7,1.7,0.36,0.5,1.5,0.32,0.3,0.4,0.15,0.8,2.1,2.9,0.9,0.5,0.5,0.5,0.9,2.2,3.06,G,1.96,94.5,USA,undrafted,undrafted,West,Southwest,Memphis Grizzlies,Prospects and Bench Players
Johnny Davis,7.12,1.08,2.23,0.44,0.23,0.46,0.19,0.23,0.38,0.15,0.31,0.92,1.23,0.23,0.31,0.08,0.08,0.77,2.62,2.05,G,1.93,87.75,USA,2022,undrafted,East,Southeast,Washington Wizards,Prospects and Bench Players
Johnny Furphy,8.97,0.82,2.36,0.31,0.27,1.09,0.23,0.45,0.45,0.27,0.55,0.55,1.09,0.45,0.36,0.27,0.55,0.45,2.36,1.73,G,2.06,90.0,Australia,2024,35,East,Central,Indiana Pacers,Prospects and Bench Players
Johnny Juzang,15.8,1.67,4.73,0.27,1.13,3.47,0.24,0.67,0.67,0.2,0.6,1.67,2.27,0.93,0.4,0.27,0.47,1.87,5.13,3.43,G,1.96,94.05,USA,undrafted,undrafted,West,Northwest,Utah Jazz,Prospects and Bench Players
Jonas Valančiūnas,20.02,4.78,8.22,0.61,0.11,0.44,0.11,2.33,2.5,0.87,2.22,5.33,7.56,2.22,0.39,0.67,1.67,1.83,12.0,11.26,C,2.11,119.25,Lithuania,2011,5,East,Southeast,Washington Wizards,All-Stars
Jonathan Isaac,17.75,2.28,5.56,0.44,0.83,2.94,0.23,1.06,1.56,0.42,1.78,3.39,5.17,0.28,0.89,1.44,0.39,1.39,6.44,6.68,F,2.08,103.5,USA,2017,6,East,Southeast,Orlando Magic,All-Stars
Jonathan Kuminga,22.78,5.0,11.59,0.42,1.06,3.65,0.24,2.47,4.06,0.5,1.12,3.0,4.12,1.82,1.06,0.41,1.41,1.88,13.53,8.92,F,2.01,101.25,DRC,2021,7,West,Pacific,Golden State Warriors,Role Players
Jonathan Mogbo,15.7,1.9,3.9,0.45,0.2,0.6,0.12,1.2,1.65,0.38,2.3,1.85,4.15,1.45,0.8,0.4,0.8,1.95,5.2,5.73,F,2.06,101.25,USA,2024,31,East,Atlantic,Toronto Raptors,Role Players
Jordan Clarkson,25.98,5.23,13.38,0.37,1.69,6.15,0.23,2.85,3.54,0.67,0.77,3.08,3.85,3.85,0.85,0.08,2.0,1.46,15.0,9.92,G,1.9,87.3,USA,2014,46,West,Northwest,Utah Jazz,Role Players
Jordan Hawkins,27.45,4.27,11.45,0.33,2.0,6.0,0.3,2.55,2.82,0.72,0.45,3.36,3.82,1.27,0.27,0.36,1.27,1.09,13.09,7.71,G,1.96,85.5,USA,2023,14,West,Southwest,New Orleans Pelicans,Role Players
Jordan McLaughlin,8.86,0.75,2.0,0.19,0.38,1.19,0.21,0.62,0.75,0.22,0.19,0.88,1.06,1.0,0.44,0.0,0.44,0.62,2.5,2.19,G,1.83,83.25,USA,undrafted,undrafted,West,Pacific,Sacramento Kings,Prospects and Bench Players
Jordan Miller,13.3,2.4,5.4,0.34,0.4,1.4,0.17,1.6,2.1,0.49,0.8,1.1,1.9,1.0,0.5,0.1,1.1,1.1,6.8,4.4,G,1.96,87.3,USA,2023,48,West,Pacific,LA Clippers,Prospects and Bench Players
Jordan Poole,30.06,7.0,15.56,0.43,3.19,7.56,0.42,3.81,4.31,0.82,0.25,2.0,2.25,4.81,1.88,0.5,3.38,3.38,21.0,14.35,G,1.93,87.3,USA,2019,28,East,Southeast,Washington Wizards,Superstars
Jordan Walsh,8.62,0.57,1.71,0.25,0.36,1.36,0.19,0.0,0.07,0.0,0.29,0.64,0.93,0.21,0.29,0.43,0.14,0.71,1.5,1.2,G,1.98,92.25,USA,2023,38,East,Atlantic,Boston Celtics,Prospects and Bench Players
Jose Alvarado,25.6,3.64,9.18,0.34,2.18,5.45,0.32,1.27,1.55,0.32,0.55,1.64,2.18,4.45,1.55,0.27,1.27,2.36,10.73,9.15,G,1.83,80.55,USA,undrafted,undrafted,West,Southwest,New Orleans Pelicans,Role Players
Josh Giddey,26.89,4.33,9.9,0.44,1.24,3.43,0.37,1.81,2.52,0.52,1.29,4.71,6.0,6.67,0.76,0.43,2.38,1.62,11.71,11.24,G,2.03,97.2,Australia,2021,6,East,Central,Chicago Bulls,Role Players
Josh Green,26.53,2.72,6.06,0.4,1.61,3.28,0.41,0.44,0.72,0.25,0.89,1.56,2.44,1.61,0.72,0.28,0.78,2.83,7.5,5.46,G,1.96,90.0,Australia,2020,18,East,Southeast,Charlotte Hornets,Role Players
Josh Hart,37.38,5.42,9.16,0.61,1.26,3.42,0.38,1.84,2.16,0.6,1.79,6.68,8.47,5.63,1.32,0.37,1.89,2.42,13.95,15.49,G,1.93,96.75,USA,2017,undrafted,East,Atlantic,New York Knicks,Superstars
Josh Minott,6.17,0.57,1.14,0.21,0.0,0.57,0.0,0.14,0.29,0.07,0.0,0.57,0.57,0.14,0.0,0.29,0.43,1.14,1.29,0.24,F,2.03,92.25,USA,2022,45,West,Northwest,Minnesota Timberwolves,Prospects and Bench Players
Josh Okogie,15.8,3.1,5.8,0.49,1.0,1.9,0.43,1.3,2.0,0.31,1.4,2.1,3.5,0.6,0.9,0.1,0.9,1.2,8.5,7.02,G,1.93,95.85,Nigeria,2018,undrafted,West,Pacific,Phoenix Suns,Role Players
Josh Richardson,18.69,1.38,4.75,0.25,0.75,2.75,0.28,0.5,0.5,0.25,0.75,0.75,1.5,1.5,1.0,0.12,1.0,2.12,4.0,2.26,G,1.96,90.0,USA,2015,undrafted,East,Southeast,Miami Heat,Role Players
Jrue Holiday,31.0,4.33,9.44,0.45,1.78,5.17,0.33,1.67,1.83,0.53,1.0,3.28,4.28,3.89,0.72,0.33,1.56,1.39,12.11,10.42,G,1.93,92.25,USA,2009,17,East,Atlantic,Boston Celtics,Role Players
Julian Champagnie,29.3,4.05,9.37,0.42,2.37,6.68,0.33,1.11,1.26,0.33,0.84,4.26,5.11,1.68,0.89,0.63,1.16,1.47,11.58,9.22,F,2.01,97.65,USA,undrafted,undrafted,West,Southwest,San Antonio Spurs,Role Players
Julian Phillips,13.75,1.55,3.7,0.4,0.7,2.25,0.32,0.6,0.95,0.31,0.75,1.3,2.05,0.4,0.7,0.15,0.45,1.45,4.4,3.26,F,2.03,89.10000000000001,USA,2023,35,East,Central,Chicago Bulls,Prospects and Bench Players
Julian Strawther,20.75,2.82,6.59,0.43,1.35,3.41,0.38,1.53,1.94,0.56,0.29,1.82,2.12,1.24,0.82,0.41,0.88,2.82,8.53,5.6,G,1.98,92.25,USA,2023,29,West,Northwest,Denver Nuggets,Role Players
Julius Randle,34.27,7.26,14.47,0.5,1.58,4.68,0.31,5.05,6.26,0.84,1.79,5.11,6.89,4.11,0.74,0.05,2.89,2.58,21.16,15.95,F,2.06,112.5,USA,2014,7,West,Northwest,Minnesota Timberwolves,Superstars
Justin Champagnie,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.25,F,1.98,92.7,USA,undrafted,undrafted,East,Southeast,Washington Wizards,Prospects and Bench Players
Justin Edwards,4.5,1.0,1.5,0.33,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,2.0,1.8,F,2.01,91.35,USA,undrafted,undrafted,East,Atlantic,Philadelphia 76ers,Prospects and Bench Players
Justin Minaya,6.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,F,1.96,92.25,USA,undrafted,undrafted,West,Northwest,Portland Trail Blazers,Prospects and Bench Players
Jusuf Nurkić,24.08,2.94,7.0,0.41,0.88,2.94,0.26,2.19,3.25,0.55,1.81,8.12,9.94,1.31,0.94,0.62,2.31,2.94,8.94,7.3,C,2.13,130.5,Bosnia and Herzegovina,2014,16,West,Pacific,Phoenix Suns,All-Stars
Kai Jones,8.11,1.0,1.38,0.47,0.0,0.0,0.0,0.31,0.46,0.12,0.77,1.15,1.92,0.31,0.08,0.62,0.38,0.85,2.31,2.56,C,2.11,99.45,Bahamas,2021,19,West,Pacific,LA Clippers,Prospects and Bench Players
Karl-Anthony Towns,33.84,9.33,17.28,0.53,2.44,5.22,0.5,4.72,5.56,0.87,2.94,9.72,12.67,3.28,0.83,0.78,2.17,3.39,25.83,22.27,C,2.13,111.6,USA,2015,1,East,Atlantic,New York Knicks,Superstars
Keaton Wallace,16.18,1.83,4.58,0.37,0.67,2.17,0.17,0.33,0.33,0.17,0.17,1.33,1.5,1.83,0.83,0.5,1.0,1.08,4.67,3.74,G,1.9,83.25,USA,undrafted,undrafted,East,Southeast,Atlanta Hawks,Prospects and Bench Players
Keegan Murray,36.68,4.8,11.6,0.4,1.6,5.75,0.26,1.2,1.45,0.44,2.5,5.35,7.85,1.7,0.7,0.7,1.1,3.1,12.4,9.5,F,2.03,101.25,USA,2022,4,West,Pacific,Sacramento Kings,All-Stars
Kel'el Ware,6.9,1.0,2.5,0.28,0.2,0.7,0.15,0.2,0.2,0.1,0.2,1.4,1.6,0.1,0.3,0.5,0.4,0.6,2.4,1.69,C,2.13,103.5,USA,2024,15,East,Southeast,Miami Heat,Prospects and Bench Players
Keldon Johnson,26.1,4.33,10.06,0.43,1.11,4.0,0.22,2.11,2.72,0.61,1.0,4.56,5.56,1.72,0.78,0.22,0.78,1.83,11.89,9.03,F,1.96,99.0,USA,2019,29,West,Southwest,San Antonio Spurs,Role Players
Kelly Oubre Jr.,30.81,5.0,11.61,0.44,1.11,4.39,0.24,1.61,2.11,0.57,1.56,3.5,5.06,1.33,1.11,0.56,1.39,3.22,12.72,8.29,F,2.03,91.35,USA,2015,15,East,Atlantic,Philadelphia 76ers,Role Players
Kenrich Williams,12.72,1.89,3.78,0.59,0.56,2.0,0.31,0.67,0.67,0.22,0.33,2.33,2.67,1.0,0.56,0.44,0.22,1.67,5.0,4.72,F,1.98,94.5,USA,undrafted,undrafted,West,Northwest,Oklahoma City Thunder,Role Players
Kentavious Caldwell-Pope,29.78,2.8,7.0,0.39,1.35,4.55,0.26,1.3,1.35,0.72,0.45,1.75,2.2,2.0,1.45,0.6,0.7,1.95,8.25,7.08,G,1.96,91.8,USA,2013,8,East,Southeast,Orlando Magic,Role Players
Keon Ellis,21.87,2.26,4.74,0.42,1.47,3.37,0.38,1.05,1.32,0.41,0.84,1.21,2.05,1.0,1.11,0.89,0.89,2.0,7.05,6.23,G,1.93,78.75,USA,undrafted,undrafted,West,Pacific,Sacramento Kings,Role Players
Keon Johnson,14.79,1.94,5.33,0.36,1.06,3.39,0.26,0.33,0.5,0.15,0.61,2.22,2.83,0.94,0.33,0.28,0.89,1.89,5.28,2.89,G,1.96,83.25,USA,2021,21,East,Atlantic,Brooklyn Nets,Role Players
Kessler Edwards,2.16,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,-0.8,F,2.01,91.35,USA,2021,44,West,Southwest,Dallas Mavericks,Prospects and Bench Players
