Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,position,height,weight,country,draft_year,draft_number,conference,division,team,Group
Kevin Durant,37.29,9.58,18.0,0.53,2.75,6.33,0.45,4.92,6.08,0.81,0.25,6.67,6.92,3.17,0.58,1.58,3.33,1.83,26.83,19.62,F,2.11,108.0,USA,2007,2,West,Pacific,Phoenix Suns,Superstars
Kevin Huerter,25.85,3.44,8.44,0.34,1.56,5.61,0.21,0.44,0.72,0.19,0.28,3.11,3.39,2.06,1.06,0.56,1.06,2.33,8.89,6.27,G,2.01,89.10000000000001,USA,2018,19,West,Pacific,Sacramento Kings,Role Players
Kevin Love,12.64,2.38,6.5,0.34,1.62,3.88,0.4,0.38,0.62,0.25,0.88,4.75,5.62,1.0,1.5,0.12,0.75,0.5,6.75,6.42,F,2.03,112.95,USA,2008,5,East,Southeast,Miami Heat,Role Players
Kevon Looney,14.95,2.29,4.35,0.55,0.0,0.0,0.0,0.94,1.94,0.36,3.65,4.0,7.65,1.41,0.82,0.24,0.71,2.53,5.53,7.01,F,2.06,99.9,USA,2015,undrafted,West,Pacific,Golden State Warriors,All-Stars
Keyonte George,31.84,5.17,13.94,0.37,2.72,8.0,0.32,2.39,3.06,0.55,0.5,2.44,2.94,5.83,0.72,0.06,3.17,1.89,15.44,9.49,G,1.93,83.25,USA,2023,16,West,Northwest,Utah Jazz,Superstars
Klay Thompson,28.52,4.71,12.29,0.37,2.94,8.0,0.34,0.88,0.94,0.45,0.71,2.88,3.59,1.82,0.65,0.41,0.94,1.29,13.24,8.6,G,1.96,99.0,USA,2011,11,West,Southwest,Dallas Mavericks,Role Players
Kobe Brown,6.73,1.29,2.86,0.42,0.14,0.86,0.14,0.14,0.29,0.07,0.71,1.57,2.29,0.57,0.14,0.0,0.0,0.71,2.86,2.54,F,2.01,112.5,USA,2023,undrafted,West,Pacific,LA Clippers,Prospects and Bench Players
Kobe Bufkin,13.53,1.57,5.0,0.33,0.57,2.57,0.21,1.57,2.14,0.55,0.43,1.86,2.29,2.0,0.43,0.29,0.71,1.0,5.29,3.96,G,1.93,87.75,USA,2023,15,East,Southeast,Atlanta Hawks,Role Players
Kris Dunn,22.65,2.76,6.0,0.47,1.05,3.0,0.34,0.24,0.48,0.11,0.81,3.1,3.9,2.76,1.38,0.24,1.14,2.71,6.81,6.37,G,1.9,92.25,USA,2016,5,West,Pacific,LA Clippers,Role Players
Kris Murray,13.68,1.82,4.06,0.4,0.59,1.88,0.24,0.41,1.12,0.16,1.06,1.41,2.47,0.71,0.47,0.18,0.59,1.06,4.65,3.49,F,2.03,97.2,USA,2023,23,West,Northwest,Portland Trail Blazers,Prospects and Bench Players
Kristaps Porziņģis,23.9,6.5,11.5,0.57,1.5,5.5,0.28,4.0,5.5,0.73,0.5,6.5,7.0,1.5,0.5,1.0,0.5,1.5,18.5,15.9,C,2.18,108.0,Latvia,2015,4,East,Atlantic,Boston Celtics,All-Stars
Kyle Anderson,14.99,2.0,5.06,0.44,0.5,1.83,0.19,0.61,1.0,0.23,0.61,2.5,3.11,2.44,0.94,0.5,0.56,1.11,5.11,5.4,F,2.06,103.5,USA,2014,undrafted,West,Pacific,Golden State Warriors,Role Players
Kyle Filipowski,19.03,2.79,5.43,0.39,0.64,2.14,0.24,1.07,2.07,0.31,0.93,3.79,4.71,2.14,0.57,0.14,1.0,1.64,7.29,6.5,C,2.11,112.5,USA,2024,32,West,Northwest,Utah Jazz,Role Players
Kyle Kuzma,27.48,6.33,15.08,0.4,1.33,4.83,0.23,1.83,2.67,0.29,0.67,4.92,5.58,1.92,0.42,0.25,2.42,1.92,15.83,8.17,F,2.06,99.45,USA,2017,27,East,Southeast,Washington Wizards,Role Players
Kyle Lowry,24.21,1.85,4.85,0.37,1.31,3.69,0.33,1.15,1.46,0.37,0.46,1.77,2.23,3.38,1.23,0.38,0.85,1.85,6.15,6.52,G,1.83,88.2,USA,2006,24,East,Atlantic,Philadelphia 76ers,Role Players
Kyrie Irving,35.45,9.26,18.37,0.51,3.21,6.89,0.47,3.05,3.47,0.82,1.16,3.68,4.84,5.58,1.21,0.21,2.05,2.26,24.79,19.69,G,1.88,87.75,Australia,2011,1,West,Southwest,Dallas Mavericks,Superstars
Kyshawn George,27.0,2.78,8.17,0.3,1.33,5.28,0.2,1.06,1.44,0.34,0.67,3.33,4.0,2.67,0.72,0.67,1.06,3.28,7.94,5.34,F,2.03,90.0,Switzerland,2024,24,East,Southeast,Washington Wizards,Role Players
LaMelo Ball,34.1,10.72,24.94,0.42,4.67,13.11,0.35,4.94,5.83,0.76,0.94,4.44,5.39,6.94,1.11,0.22,4.5,4.06,31.06,19.53,G,2.01,81.0,USA,2020,3,East,Southeast,Charlotte Hornets,Superstars
Lauri Markkanen,31.85,6.07,13.33,0.47,2.6,6.67,0.39,4.73,5.53,0.72,1.73,4.8,6.53,2.13,0.73,0.13,1.4,1.8,19.47,15.09,F,2.13,108.0,Finland,2017,7,West,Northwest,Utah Jazz,Superstars
LeBron James,35.1,8.37,16.79,0.49,2.11,5.42,0.34,3.47,4.63,0.76,0.84,7.37,8.21,9.11,0.68,0.42,4.0,1.11,22.32,19.16,F,2.06,112.5,USA,2003,1,West,Pacific,Los Angeles Lakers,Superstars
Liam Robbins,4.53,0.5,0.75,0.38,0.0,0.25,0.0,0.25,1.0,0.12,0.5,0.25,0.75,0.0,0.0,0.0,0.0,0.75,1.25,0.75,C,2.13,112.5,USA,undrafted,undrafted,East,Central,Milwaukee Bucks,Prospects and Bench Players
Lonzo Ball,16.72,1.6,4.2,0.42,1.2,3.6,0.34,0.0,0.0,0.0,0.2,2.2,2.4,3.8,1.2,0.6,1.0,1.0,4.4,5.78,G,1.98,85.5,USA,2017,2,East,Central,Chicago Bulls,Role Players
Luguentz Dort,29.31,3.42,8.11,0.39,2.16,5.26,0.36,1.26,1.53,0.57,1.42,3.26,4.68,1.74,1.16,0.74,0.68,2.95,10.26,8.85,G,1.93,99.0,Canada,undrafted,undrafted,West,Northwest,Oklahoma City Thunder,Role Players
Luka Dončić,36.65,9.86,22.64,0.44,3.21,9.93,0.32,5.14,6.57,0.76,0.57,7.07,7.64,7.64,1.57,0.36,3.29,2.79,28.07,20.89,F,1.98,103.5,Slovenia,2018,3,West,Southwest,Dallas Mavericks,Superstars
Luka Garza,4.17,1.0,2.75,0.25,0.0,1.0,0.0,0.0,0.25,0.0,0.25,1.0,1.25,0.0,0.0,0.0,0.5,0.25,2.0,0.25,C,2.08,109.35,USA,2021,52,West,Northwest,Minnesota Timberwolves,Prospects and Bench Players
Luke Kennard,21.38,2.42,5.58,0.42,1.67,4.08,0.41,0.83,1.08,0.33,0.58,1.92,2.5,3.33,0.58,0.17,0.83,0.75,7.33,7.18,G,1.96,92.7,USA,2017,12,West,Southwest,Memphis Grizzlies,Role Players
Luke Kornet,17.23,1.64,2.5,0.46,0.0,0.0,0.0,1.14,1.29,0.25,2.0,2.07,4.07,1.64,0.57,0.71,0.43,1.43,4.43,6.52,C,2.16,112.5,USA,undrafted,undrafted,East,Atlantic,Boston Celtics,All-Stars
Luke Travers,7.98,0.6,1.4,0.27,0.0,0.6,0.0,0.4,0.4,0.2,0.2,1.0,1.2,1.0,0.2,0.2,0.4,0.6,1.6,1.7,F,2.01,93.15,Australia,2022,56,East,Central,Cleveland Cavaliers,Prospects and Bench Players
Mac McClung,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.7,G,1.88,83.25,USA,undrafted,undrafted,East,Southeast,Orlando Magic,Prospects and Bench Players
Malaki Branham,13.4,2.56,5.56,0.41,1.0,2.38,0.34,1.06,1.25,0.46,0.19,1.62,1.81,1.25,0.38,0.12,1.25,0.69,7.19,4.68,F,1.93,81.0,USA,2022,undrafted,West,Southwest,San Antonio Spurs,Role Players
Malcolm Brogdon,23.95,5.43,9.86,0.51,0.71,2.0,0.39,3.0,3.43,0.73,0.86,3.71,4.57,2.86,0.57,0.29,1.57,2.43,14.57,11.61,G,1.93,103.05,USA,2016,36,East,Southeast,Washington Wizards,Role Players
Malevy Leons,3.49,0.0,0.33,0.0,0.0,0.17,0.0,0.33,0.67,0.17,0.17,0.33,0.5,0.17,0.0,0.0,0.17,0.67,0.33,-0.13,F,2.06,94.5,Netherlands,undrafted,undrafted,West,Northwest,Oklahoma City Thunder,Prospects and Bench Players
Malik Beasley,28.84,5.64,12.91,0.44,3.59,9.0,0.4,1.0,1.41,0.36,0.68,2.32,3.0,2.0,0.73,0.05,1.18,1.45,15.86,10.49,G,1.93,84.15,USA,2016,19,East,Central,Detroit Pistons,Role Players
Malik Monk,26.7,5.46,11.77,0.45,1.92,5.38,0.29,2.23,2.77,0.63,0.08,3.15,3.23,3.77,0.85,0.54,1.23,2.15,15.08,11.58,G,1.9,90.0,USA,2017,11,West,Pacific,Sacramento Kings,Role Players
MarJon Beauchamp,3.22,0.55,1.45,0.27,0.18,0.73,0.14,0.36,0.36,0.18,0.18,0.64,0.82,0.09,0.09,0.0,0.64,0.27,1.64,0.56,F,2.01,89.55,USA,2022,24,East,Central,Milwaukee Bucks,Prospects and Bench Players
Marcus Sasser,13.26,2.57,4.71,0.47,0.79,1.86,0.3,0.43,0.43,0.21,0.36,0.71,1.07,1.57,0.71,0.14,0.71,0.79,6.36,5.44,G,1.88,87.75,USA,2023,25,East,Central,Detroit Pistons,Prospects and Bench Players
Marcus Smart,20.58,3.0,7.9,0.35,1.6,5.0,0.31,1.8,2.1,0.42,1.0,1.6,2.6,4.1,1.4,0.6,1.8,1.8,9.4,8.3,G,1.9,99.0,USA,2014,6,West,Southwest,Memphis Grizzlies,Role Players
Markieff Morris,4.78,0.5,3.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,F,2.06,110.25,USA,2011,13,West,Southwest,Dallas Mavericks,Prospects and Bench Players
Marvin Bagley III,5.63,1.42,2.83,0.48,0.0,0.42,0.0,0.67,0.92,0.25,1.0,1.25,2.25,0.25,0.17,0.08,0.58,0.08,3.5,2.84,F,2.08,105.75,USA,2018,2,East,Southeast,Washington Wizards,Prospects and Bench Players
Mason Jones,4.2,0.0,0.67,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.33,1.0,1.33,2.33,0.0,0.0,0.0,0.33,0.0,1.57,G,1.93,90.0,USA,undrafted,undrafted,West,Pacific,Sacramento Kings,Prospects and Bench Players
Mason Plumlee,16.78,1.78,3.17,0.54,0.0,0.0,0.0,1.0,1.78,0.32,1.5,4.11,5.61,1.67,0.28,0.44,0.94,1.94,4.56,5.06,C,2.08,114.3,USA,2013,22,West,Pacific,Phoenix Suns,All-Stars
Matas Buzelis,11.11,1.45,3.95,0.26,0.65,2.1,0.18,0.65,0.85,0.32,0.4,1.8,2.2,0.2,0.4,0.6,0.75,1.4,4.2,2.41,F,2.08,94.05,USA,2024,11,East,Central,Chicago Bulls,Prospects and Bench Players
Matt Ryan,4.99,0.2,1.4,0.1,0.2,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,-0.5,F,1.98,96.75,USA,undrafted,undrafted,West,Southwest,New Orleans Pelicans,Prospects and Bench Players
Max Christie,17.06,1.67,3.78,0.5,0.5,1.72,0.28,1.22,1.39,0.43,0.44,1.22,1.67,0.94,0.72,0.44,0.61,1.28,5.06,4.26,G,1.96,85.5,USA,2022,35,West,Pacific,Los Angeles Lakers,Role Players
Maxi Kleber,16.69,0.82,1.82,0.42,0.18,0.55,0.18,0.18,0.36,0.09,0.18,2.73,2.91,0.64,0.18,0.45,0.73,2.45,2.0,1.16,F,2.08,108.0,Germany,undrafted,undrafted,West,Southwest,Dallas Mavericks,Prospects and Bench Players
Maxwell Lewis,2.58,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,-0.1,F,2.01,87.75,USA,2023,undrafted,West,Pacific,Los Angeles Lakers,Prospects and Bench Players
Micah Potter,22.42,2.5,5.5,0.46,2.5,4.5,0.58,0.0,0.0,0.0,4.5,5.0,9.5,1.5,0.5,0.5,2.0,1.5,7.5,8.6,F,2.06,111.6,USA,undrafted,undrafted,West,Northwest,Utah Jazz,All-Stars
Michael Porter Jr.,35.98,7.29,14.76,0.49,2.71,6.71,0.38,1.29,1.94,0.57,1.71,5.53,7.24,2.88,0.82,0.35,1.12,2.35,18.59,14.79,F,2.08,98.1,USA,2018,14,West,Northwest,Denver Nuggets,Superstars
Mikal Bridges,38.09,6.53,14.37,0.45,2.0,6.53,0.29,0.42,0.68,0.14,1.11,2.63,3.74,3.26,1.05,0.53,1.53,1.32,15.47,11.14,F,1.98,94.05,USA,2018,undrafted,East,Atlantic,New York Knicks,Role Players
Mike Conley,26.02,2.47,7.47,0.34,1.87,5.2,0.38,1.67,1.87,0.49,0.53,2.4,2.93,4.6,1.73,0.2,1.4,1.73,8.47,8.24,G,1.83,78.75,USA,2007,4,West,Northwest,Minnesota Timberwolves,Role Players
Miles Bridges,30.11,5.64,13.27,0.42,2.18,6.27,0.35,2.55,3.0,0.65,0.73,5.82,6.55,3.0,0.64,0.45,1.36,1.36,16.0,12.18,F,2.01,101.25,USA,2018,12,East,Southeast,Charlotte Hornets,Superstars
Miles McBride,25.7,3.93,8.57,0.46,1.93,5.0,0.38,0.93,1.07,0.4,0.57,2.14,2.71,2.43,1.0,0.29,0.86,1.71,10.71,8.63,G,1.85,87.75,USA,2021,36,East,Atlantic,New York Knicks,Role Players
Mo Bamba,14.42,2.29,5.43,0.49,0.43,2.43,0.17,0.71,1.0,0.45,0.86,3.43,4.29,1.0,0.57,1.0,0.71,2.43,5.71,4.63,C,2.13,103.95,USA,2018,6,West,Pacific,LA Clippers,Role Players
Monte Morris,11.26,1.79,3.86,0.36,0.79,1.86,0.3,0.86,1.0,0.3,0.21,1.07,1.29,1.36,0.43,0.21,0.36,0.36,5.21,4.67,G,1.88,82.35000000000001,USA,2017,51,West,Pacific,Phoenix Suns,Prospects and Bench Players
Moritz Wagner,18.95,4.57,8.29,0.54,0.86,2.57,0.34,2.71,3.57,0.67,1.29,3.38,4.67,1.38,0.67,0.29,1.71,1.86,12.71,9.69,C,2.11,110.25,Germany,2018,25,East,Southeast,Orlando Magic,All-Stars
Moses Brown,6.55,2.17,3.33,0.43,0.0,0.0,0.0,0.5,0.83,0.1,0.67,1.5,2.17,0.0,0.33,0.17,0.83,1.0,4.83,3.37,C,2.18,116.1,USA,undrafted,undrafted,West,Northwest,Portland Trail Blazers,Prospects and Bench Players
Moses Moody,15.92,2.68,6.05,0.41,1.37,3.53,0.34,1.0,1.37,0.41,0.47,1.53,2.0,0.95,0.26,0.32,0.89,1.21,7.74,4.98,G,1.96,94.95,USA,2021,14,West,Pacific,Golden State Warriors,Role Players
Mouhamed Gueye,5.7,0.5,2.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,-0.4,F,2.08,94.5,Senegal,2023,39,East,Southeast,Atlanta Hawks,Prospects and Bench Players
Myles Turner,32.26,5.89,12.28,0.47,2.0,5.06,0.35,2.17,3.17,0.58,1.39,6.11,7.5,1.39,0.89,2.0,2.61,3.28,15.94,11.45,C,2.11,112.5,USA,2015,11,East,Central,Indiana Pacers,All-Stars
Naji Marshall,24.1,4.65,8.55,0.49,0.75,2.55,0.2,1.5,1.7,0.58,1.15,2.2,3.35,2.4,0.95,0.1,1.45,1.55,11.55,9.44,F,1.98,99.0,USA,undrafted,undrafted,West,Southwest,Dallas Mavericks,Role Players
Naz Reid,24.59,4.84,10.05,0.46,1.95,5.21,0.33,1.74,1.95,0.66,0.74,4.42,5.16,1.47,0.74,0.63,1.32,2.32,13.37,9.99,F,2.06,118.8,USA,undrafted,undrafted,West,Northwest,Minnesota Timberwolves,Role Players
Neemias Queta,18.46,2.71,4.24,0.48,0.0,0.12,0.0,1.0,1.29,0.37,1.94,3.24,5.18,0.82,0.24,0.94,0.71,2.0,6.41,6.71,C,2.13,111.6,Portugal,2021,39,East,Atlantic,Boston Celtics,All-Stars
Nic Claxton,24.6,3.79,5.79,0.62,0.0,0.0,0.0,0.93,2.0,0.29,1.86,5.79,7.64,2.57,0.5,1.29,1.0,2.5,8.5,9.77,C,2.11,96.75,USA,2019,31,East,Atlantic,Brooklyn Nets,All-Stars
Nick Richards,27.12,4.0,6.33,0.53,0.0,0.17,0.0,3.17,4.83,0.56,3.5,5.83,9.33,1.67,0.5,2.5,1.33,3.33,11.17,12.62,C,2.13,110.25,Jamaica,2020,42,East,Southeast,Charlotte Hornets,All-Stars
Nickeil Alexander-Walker,24.36,3.26,6.37,0.52,1.63,3.53,0.44,1.05,1.32,0.5,0.74,2.16,2.89,2.53,1.0,0.37,1.42,1.63,9.21,8.07,G,1.96,92.25,Canada,2019,17,West,Northwest,Minnesota Timberwolves,Role Players
Nicolas Batum,17.73,1.38,3.57,0.31,1.05,2.76,0.31,0.29,0.38,0.14,0.76,1.95,2.71,1.38,0.38,0.48,0.38,1.14,4.1,4.07,F,2.03,103.5,France,2008,25,West,Pacific,LA Clippers,Prospects and Bench Players
Nikola Jokić,37.34,11.07,19.5,0.57,2.21,4.14,0.56,5.36,6.43,0.82,4.21,8.93,13.14,10.64,1.5,0.86,3.64,1.79,29.71,30.89,C,2.11,127.8,Serbia,2014,41,West,Northwest,Denver Nuggets,Superstars
Nikola Jović,18.18,2.79,6.21,0.44,1.0,3.14,0.24,1.14,1.43,0.46,0.57,3.14,3.71,1.29,0.93,0.07,0.57,1.43,7.71,6.44,F,2.08,92.25,Serbia,2022,27,East,Southeast,Miami Heat,Role Players
Nikola Vučević,31.94,8.38,14.52,0.59,2.19,4.67,0.43,1.95,2.33,0.62,1.95,8.0,9.95,3.24,0.67,0.9,1.81,2.38,20.9,18.51,C,2.08,117.0,Montenegro,2011,16,East,Central,Chicago Bulls,Superstars
Noah Clowney,16.55,2.47,6.27,0.38,1.53,4.07,0.28,1.0,1.4,0.39,0.93,2.2,3.13,0.67,0.33,0.6,0.73,2.4,7.47,4.75,F,2.06,94.5,USA,2023,21,East,Atlantic,Brooklyn Nets,Role Players
Norman Powell,33.42,8.07,16.47,0.5,3.87,7.93,0.48,3.27,4.0,0.75,0.27,2.8,3.07,2.33,1.13,0.2,2.13,1.87,23.27,15.73,G,1.93,96.75,USA,2015,46,West,Pacific,LA Clippers,Superstars
OG Anunoby,36.73,6.68,13.53,0.47,2.26,6.0,0.37,2.26,2.68,0.74,1.16,4.11,5.26,2.0,1.32,0.74,1.26,2.63,17.89,13.89,F,2.01,108.0,United Kingdom,2017,23,East,Atlantic,New York Knicks,Superstars
Obi Toppin,19.91,3.58,6.84,0.52,0.95,3.05,0.28,0.84,0.95,0.23,0.74,2.37,3.11,1.68,0.53,0.37,0.63,1.16,8.95,7.64,F,2.06,99.0,USA,2020,8,East,Central,Indiana Pacers,Role Players
Ochai Agbaji,31.19,4.8,8.9,0.55,1.95,4.1,0.4,0.7,1.0,0.29,0.95,3.55,4.5,2.05,1.1,0.6,1.0,2.6,12.25,10.46,G,1.96,96.75,USA,2022,14,East,Atlantic,Toronto Raptors,Role Players
Olivier-Maxence Prosper,5.51,0.64,1.64,0.22,0.0,0.27,0.0,0.18,0.27,0.14,0.64,0.64,1.27,0.09,0.09,0.0,0.09,0.55,1.45,1.01,F,2.01,103.5,Canada,2023,24,West,Southwest,Dallas Mavericks,Prospects and Bench Players
Onyeka Okongwu,23.88,4.26,8.0,0.52,0.37,1.84,0.17,2.11,2.58,0.53,2.37,4.32,6.68,1.68,0.63,0.68,0.95,2.16,11.0,10.35,C,2.08,108.0,USA,2020,6,East,Southeast,Atlanta Hawks,All-Stars
Orlando Robinson,7.23,0.67,0.67,0.33,0.33,0.33,0.33,0.67,1.33,0.33,0.67,1.33,2.0,0.33,0.33,0.0,1.0,1.33,2.33,1.77,C,2.08,105.75,USA,undrafted,undrafted,West,Pacific,Sacramento Kings,Prospects and Bench Players
Oscar Tshiebwe,15.65,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,3.0,6.0,9.0,0.0,2.0,0.0,1.0,3.0,3.0,6.3,F,2.03,114.75,DRC,undrafted,undrafted,West,Northwest,Utah Jazz,All-Stars
Oso Ighodaro,16.26,1.93,3.07,0.56,0.0,0.0,0.0,0.64,0.79,0.32,1.14,3.0,4.14,0.79,0.36,0.43,0.71,1.86,4.5,4.51,F,2.13,105.75,USA,2024,undrafted,West,Pacific,Phoenix Suns,Prospects and Bench Players
Ousmane Dieng,11.6,1.25,3.69,0.33,0.56,2.25,0.26,0.44,0.69,0.2,0.56,2.06,2.62,0.81,0.69,0.25,0.25,1.12,3.5,3.06,F,2.06,83.25,France,2022,11,West,Northwest,Oklahoma City Thunder,Prospects and Bench Players
P.J. Washington,32.33,4.73,10.53,0.43,1.13,3.53,0.3,1.8,2.33,0.29,1.87,7.13,9.0,2.07,1.47,1.2,1.47,2.2,12.4,11.56,F,1.98,103.5,USA,2019,12,West,Southwest,Dallas Mavericks,All-Stars
PJ Dozier,3.68,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.5,0.12,0.25,0.5,0.75,0.5,0.25,0.0,0.0,0.5,1.0,1.38,F,1.98,92.25,USA,undrafted,undrafted,West,Northwest,Minnesota Timberwolves,Prospects and Bench Players
PJ Hall,2.0,0.25,0.75,0.12,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,-0.02,C,2.08,110.25,USA,undrafted,undrafted,West,Northwest,Denver Nuggets,Prospects and Bench Players
Pacome Dadiet,7.39,0.6,1.8,0.28,0.5,1.2,0.2,0.2,0.2,0.1,0.0,1.3,1.3,0.4,0.1,0.2,0.1,0.5,1.9,1.49,F,2.03,94.5,France,2024,25,East,Atlantic,New York Knicks,Prospects and Bench Players
Paolo Banchero,36.44,9.6,19.4,0.46,2.2,6.4,0.36,7.6,11.8,0.66,2.4,6.4,8.8,5.6,0.6,0.8,2.2,2.6,29.0,23.02,F,2.08,112.5,USA,2022,1,East,Southeast,Orlando Magic,Superstars
Pascal Siakam,34.34,8.15,14.95,0.55,1.85,4.35,0.43,2.8,3.5,0.76,1.8,4.8,6.6,3.85,0.85,0.2,1.4,2.9,20.95,17.29,F,2.03,110.25,Cameroon,2016,27,East,Central,Indiana Pacers,Superstars
Pat Connaughton,17.87,1.86,5.0,0.37,0.93,3.14,0.34,0.64,0.86,0.27,0.57,2.64,3.21,1.79,0.21,0.29,0.71,1.29,5.29,4.07,G,1.96,94.05,USA,2015,41,East,Central,Milwaukee Bucks,Role Players
Pat Spencer,5.51,0.8,1.8,0.21,0.0,0.0,0.0,0.4,0.4,0.2,0.6,0.4,1.0,1.4,0.2,0.0,0.4,0.6,2.0,2.14,G,1.9,92.25,USA,undrafted,undrafted,West,Pacific,Golden State Warriors,Prospects and Bench Players
Patrick Williams,28.87,3.33,8.87,0.38,1.87,4.73,0.39,1.4,1.67,0.57,1.07,3.93,5.0,2.33,1.0,0.53,1.93,1.4,9.93,7.39,F,2.01,96.75,USA,2020,4,East,Central,Chicago Bulls,Role Players
Patty Mills,15.28,1.22,3.44,0.25,0.78,2.67,0.21,0.33,0.33,0.11,0.11,0.78,0.89,1.44,0.67,0.22,0.89,0.89,3.56,2.53,G,1.88,81.0,Australia,2009,55,West,Northwest,Utah Jazz,Prospects and Bench Players
Paul George,28.65,5.0,13.22,0.38,1.78,6.22,0.28,2.67,3.33,0.72,0.89,4.78,5.67,4.78,2.11,0.22,3.11,2.44,14.44,10.5,F,2.03,99.0,USA,2010,undrafted,East,Atlantic,Philadelphia 76ers,Superstars
Paul Reed,10.16,1.8,3.2,0.45,0.3,0.8,0.23,0.9,1.1,0.4,0.7,1.5,2.2,0.5,0.7,0.5,0.8,1.9,4.8,3.98,F,2.06,94.5,USA,2020,58,East,Central,Detroit Pistons,Prospects and Bench Players
Payton Pritchard,27.36,5.21,10.74,0.46,3.68,8.37,0.42,1.47,1.68,0.53,0.95,1.84,2.79,2.84,1.11,0.05,0.95,1.74,15.58,12.77,G,1.85,87.75,USA,2020,26,East,Atlantic,Boston Celtics,Role Players
